FID,globalid,uniq_id,timestamp,editor,scdy_edtor,wardname,wardcode,lganame,lgacode,statename,statecode,source,ecity_nam,x,y
1,8fb34941-bef4-4af2-b560-e0453879a1f9,5777,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Oguduokwo Oshiri,EBSNCA16,Onicha,11013,Ebonyi,EB,GRID,Eke Oshiri Transformer,7.89047500012123,6.13452666727193
2,f75471bb-a04b-4ec6-8818-32c6653801c2,5778,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Baale Okuku,OSSODN02,Odo Otin,30025,Osun,OS,GRID,Oke Ola Power Station Okuku,4.67875999957437,8.02907500021115
3,f2c94db2-87d8-4fdc-861b-2cae82ae9811,5779,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ward 3,CRSANA03,Calabar South,9009,Cross River,CR,GRID,University Of Calabar Station,8.34993169968823,4.95028499975297
4,354b9705-2575-4227-b896-8ae31fadde1a,4920,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Oriuzor 1,EBSEBJ09,Ezza North,11005,Ebonyi,EB,GRID,Onunworie Transformer,8.02945333330473,6.21617333333273
5,72caabbb-614d-40a1-9d57-feba263f7610,4693,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Echara,EBSNKE09,Ezza South,11006,Ebonyi,EB,GRID,Obulor Transformer,7.89808333297947,6.13575499999331
6,5a32b189-1184-4cdc-9f49-e207a1c243d4,4608,2/2/2018 12:00:00 AM,najib.adam, ,Akpugo 2,ENSAGN13,Nkanu West,14012,Enugu,EN,GRID,Eedc,7.55666166720221,6.31664833255456
7,b35a047e-f2d3-446f-922e-170a43790f02,4814,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Umuoghara 2,EBSEBJ15,Ezza North,11005,Ebonyi,EB,GRID,Ebiaji Dc,7.99607666740434,6.22487833276887
8,35717815-74d8-4d46-b59d-412e63d17d31,5646,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Idofian 2,KWSSHA03,Ifelodun,24005,Kwara,KW,GRID,Awoniyi Power Cable,4.68738333337416,8.31494166712429
9,8f5e3839-e93c-4eef-9871-57ecb63644c5,5645,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Sunren,OGSIFO11,Ifo,28007,Ogun,OG,GRID,Olorunsogo Power Plant,3.3120299996848,6.87939666662294
10,15ce2bb5-a824-469f-845e-607a9ee3a9d3,5644,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ota 2,OGSADO14,Ado Odo/Ota,28003,Ogun,OG,GRID,Electricity Control Power Point,3.20827833317855,6.6550433326837
11,1f819c14-735e-49d7-8a9e-fad161ea4cb4,5643,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Opeilu / Ibaragun,OGSIFO09,Ifo,28007,Ogun,OG,GRID,Nigerian Gas Company Ltd Transformer,3.33708333302945,6.71383333324178
12,50b3c862-0a68-4388-bba2-934e412c6502,5641,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Okuzu-Ukawu / Ebirogu Okuzzu 2,EBSNCA20,Onicha,11013,Ebonyi,EB,GRID,Ezuku Ldoko Electricity Substation And Power Installation,7.88791330015874,6.07594829967434
13,79d3782e-21db-4c01-b320-7c21af2619f6,5640,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Iyioji 1 / Iyioji 2 / Iyioji Akaeze,EBSSKA09,Ivo,11009,Ebonyi,EB,GRID,Ezuagha Electricity Power Supply,7.69449000041323,5.90660000038974
14,f15d114a-42ad-44c5-96e7-8deefb0c573f,5637,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ilisan 2,OGSIKE04,Ikenne,28012,Ogun,OG,GRID,Babcock University Power Plant,3.72137833284381,6.88652333338518
15,4f5364aa-da3e-410b-9048-04bef5cc968f,5636,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Aisegba 1,EKSGBN02,Gbonyin,13007,Ekiti,EK,GRID,Transformer,5.47777666665991,7.60452833311615
16,465cf4ed-5629-4e0c-ae53-7420e7c058d3,5635,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Isiama / Uduma,ABSHAF11,Ohafia,1010,Abia,AB,GRID,Okagwe Power Substation,7.8188766670246,5.68062833283136
17,c8626b43-7ee8-4875-8a1e-955061141bca,5634,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Onimankiong,CRSDUK11,Odukpani,9015,Cross River,CR,GRID,National Intergrated Power Project Ikot Nyong,8.26274169976966,5.18899169970723
18,b8504672-cde6-4234-9265-0ffad5fc9791,5633,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Onimankiong,CRSDUK11,Odukpani,9015,Cross River,CR,GRID,Lot 1 Calabar Power Station,8.27173999960132,5.19323000036428
19,e524bc53-e27d-49a1-a166-f5fd20e45f7e,5632,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Olukotun Inisha,OSSODN13,Odo Otin,30025,Osun,OS,GRID,Ibadan Electricity Distribution,4.65558666659143,7.97917666686971
20,18b5a9b8-2028-441c-936d-8338ac4cb5d0,5631,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Timber Shade,EBSAKL20,Abakaliki,11001,Ebonyi,EB,GRID,13 Umualaoma Street Roadtransformer,8.09690999969678,6.3027116674096
21,346408b5-016e-4169-9bcb-a09d763b76d5,5630,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Odo Ado,EKSADO08,Ado-Ekiti,13001,Ekiti,EK,GRID,National Integrated Power Project,5.23405833272591,7.60062666668739
22,92d01e35-2292-48ec-bb22-61ca908177eb,5629,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Aisegba 1,EKSGBN02,Gbonyin,13007,Ekiti,EK,GRID,Transformers,5.48528500030255,7.6011700001954
23,37c7d4e8-6fb3-4104-b4e5-35f04dcea2cb,5628,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Amaezu / Amaelu,EBSZLL03,Ishielu,11008,Ebonyi,EB,GRID,Transformer Amaezu Junction,7.7556549998784,6.55057166714874
24,6bc610de-ada0-4a21-86d7-455c08b75e9b,5627,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ebia,EBSAKL10,Abakaliki,11001,Ebonyi,EB,GRID,Along Umuome Major Local Road,8.06294166712428,6.21100499968105
25,2e546137-3f1b-4397-add4-082cdd18d567,5626,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Enyigba / Amagu Armyland,EBSAKL13,Abakaliki,11001,Ebonyi,EB,GRID,Electricity Substations Umuome,8.05705499998828,6.21150500025561
26,54c66b62-75cb-4c2e-a1c4-4efd7496b3c0,5625,2/2/2018 12:00:00 AM,racheal.olarewaju, ,New Layout,EBSUGB16,Ebonyi,11004,Ebonyi,EB,GRID,Ogboloko Transformer Site,8.10977000008546,6.34659000012846
27,74a9ac4a-7fd3-4746-a5cd-cc209827b923,5624,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Amuzu,EBSBKL02,Izzi,11010,Ebonyi,EB,GRID,Agalegu Primary Schools,8.17349833268196,6.29727000011047
28,6384d3a1-35f1-4f8b-9315-9651dc597ed5,5623,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Obeagu,EBSZLL21,Ishielu,11008,Ebonyi,EB,GRID,Electric Installation,7.76927833312863,6.58895333273017
29,6cbc4d2e-037b-4d4b-99b6-8629979d23dd,5622,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Obeagu,EBSZLL21,Ishielu,11008,Ebonyi,EB,GRID,High Tension,7.77277999999706,6.58771833333446
30,f75b367a-225f-484d-8075-8f5e3bb1de9c,5621,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Obeagu,EBSZLL21,Ishielu,11008,Ebonyi,EB,GRID,Nkalaha City,7.76995500012322,6.58871499979745
