FID,globalid,uniq_id,timestamp,editor,scdy_edtor,wardname,wardcode,lganame,lgacode,statename,statecode,fctry_st_s,source,fctry_st_n,x,y
1,d04a9673-b588-4bc1-982d-146ddb2999ae,36567,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Irolu,OGSIKE08,Ikenne,28012,Ogun,OG,In Use,GRID,Gods Will Technical Construction Limited,3.64888666718599,6.95169999985518
2,d76f93b3-cad4-450a-9b1b-0146893a9b4c,36568,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Iloro / Efon 9,EKSEFO07,Efon,13002,Ekiti,EK,In Use,GRID,Gaari Processing Factory,4.95027833307864,7.72668666675634
3,dd662767-2abb-4d6a-80e4-5df877a6135a,36569,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Iloro / Efon 9,EKSEFO07,Efon,13002,Ekiti,EK,In Use,GRID,Isaac Omoniyi Wooding Works,4.92521833305966,7.69826833291728
4,bd118636-051a-402c-88cd-b631c1bb89ae,36570,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Itunsoku,OGSSAU09,Shagamu,28020,Ogun,OG,In Use,GRID,Nulec Company,3.62606645660173,6.8577625898717
5,cf403baf-4ca9-4d49-b37a-9ff5ade4a175,36571,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Itunsoku,OGSSAU09,Shagamu,28020,Ogun,OG,In Use,GRID,Temitope Biscuit,3.62588833327999,6.85805499993836
6,dd597fd5-4189-4aff-9ede-ec8bacc4e7e8,36572,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Itunsoku,OGSSAU09,Shagamu,28020,Ogun,OG,In Use,GRID,Ibunkun Oluwa Blocks Industry,3.61923333305191,6.85815833294077
7,6bb8a57d-fcb5-4510-bf67-6a46cd3e4646,36573,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Itunsoku,OGSSAU09,Shagamu,28020,Ogun,OG,In Use,GRID,Omo Oba Block Industry,3.61663666744829,6.8350900003033
8,38668703-3c53-4ec8-be79-5fe6105111e7,36574,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Odelemo,OGSSAU11,Shagamu,28020,Ogun,OG,In Use,GRID,Mechanic Village,3.62546499990987,6.82303666660891
9,a8dfd710-2aca-4987-bd08-5ac09c1553b3,36575,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ayegbami,OGSSAU04,Shagamu,28020,Ogun,OG,In Use,GRID,Al Wadud Block Industry Along Ode Lemo Road Ibelefun,3.64314500044145,6.8066083326085
10,168e0b5b-ee6f-41e9-af49-fc93900c2eec,36576,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Odelemo,OGSSAU11,Shagamu,28020,Ogun,OG,In Use,GRID,Ayomide Block Industry,3.64082166668663,6.81105666723147
11,06fe450d-64a6-4906-975b-05bf7e5fa7b3,36577,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ayegbami,OGSSAU04,Shagamu,28020,Ogun,OG,In Use,GRID,Block Industry Along Ode Lemo Road Ibelefun Sabo,3.64096666707809,6.81178999960883
12,2b2bae44-58d7-4994-b78a-516567a94540,36578,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ayegbami,OGSSAU04,Shagamu,28020,Ogun,OG,In Use,GRID,Block Industry Along Oriya Atoyo Road,3.64066999962085,6.81420166657369
13,4a686f2a-0475-47db-bd83-fca2749f156a,36579,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Odelemo,OGSSAU11,Shagamu,28020,Ogun,OG,In Use,GRID,Lafarge Africa Plc,3.61964333307338,6.81929500036404
