FID,globalid,uniq_id,timestamp,editor,scdy_edtor,wardname,wardcode,lganame,lgacode,statename,statecode,category,alt_name,source,poi_name,x,y
1,d8d4cba8-0678-4ef0-aa1f-177b9668b0f8,17193,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Iloro / Efon 9,EKSEFO07,Efon,13002,Ekiti,EK,Federal Government, ,GRID,Itawure Federal Road Safety Station,4.95208699022248,7.72735869324913
2,00615c03-1f54-4acf-b53d-cc3195ede800,17194,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Ajara,OGSSAU03,Shagamu,28020,Ogun,OG,State Government, ,GRID,Ogun State Internal Revenue Service,3.64625993005177,6.84064452802261
3,5ae4669d-3953-49c4-9ee8-d8c782c54f19,17195,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Itunsoku,OGSSAU09,Shagamu,28020,Ogun,OG,State Government, ,GRID,High Court Of JusticeSagamu,3.62428166656571,6.85485666720149
4,fafc94e0-6ee8-4873-a103-d10b1dcc93ab,17196,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Itunsoku,OGSSAU09,Shagamu,28020,Ogun,OG,Local Government, ,GRID,Shagamu West Local Council Development Area Makun Secretariat,3.63129166697689,6.8499783334334
5,dda51016-33f7-4633-88ba-159441bd7169,17197,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Itunsoku,OGSSAU09,Shagamu,28020,Ogun,OG,State Government, ,GRID,Ogun State Library Board Shagamu Zonal Library,3.62892000005803,6.84863666724846
6,fe75adde-5e11-44a5-8442-6ab3fc235edc,17198,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Ajara,OGSSAU03,Shagamu,28020,Ogun,OG,State Government, ,GRID,Ministry Of Education Science And Technology,3.64589999978523,6.83926999971078
7,38e3aecd-6457-4b28-82b0-686d5d002e38,17199,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Ajara,OGSSAU03,Shagamu,28020,Ogun,OG,State Government, ,GRID,Federal Road Safety Corporation,3.6461833329945,6.84087666732438
8,85750829-54a1-4edc-a2f6-37b16e05bbc1,17200,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Iperu 1,OGSIKE05,Ikenne,28012,Ogun,OG,State Government, ,GRID,Ogun State Internal Revenue Service,3.6641233329255,6.91618999996859
9,66879698-b52f-4b61-9d39-3677981fd53f,17201,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Ikenne 1,OGSIKE01,Ikenne,28012,Ogun,OG,State Government, ,GRID,Argo Services Corporation,3.71271422378243,6.85273855514026
10,582aaea4-b977-4494-bfe6-9d330ad8bf6a,17202,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Ikenne 1,OGSIKE01,Ikenne,28012,Ogun,OG,State Government, ,GRID,Oh In Argo Services Corporation,3.71281500001231,6.85273666656394
11,c16deb6f-1b70-44f4-ba68-1b486a550737,17203,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Oguduokwo Oshiri,EBSNCA16,Onicha,11013,Ebonyi,EB,Local Government, ,GRID,Oshiri License Office,7.8898100000315,6.134751666856
12,83576d3e-287f-4f2d-be25-1b3cd8491f9c,17204,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Oguduokwo Oshiri,EBSNCA16,Onicha,11013,Ebonyi,EB,Local Government, ,GRID,Obalo Memorial Stadium,7.89346999974072,6.12819833318656
13,90a93445-e315-483c-899f-a2c6946f37a8,17205,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Ngwaiyiekwe / Ward Ten,ABSGWB07,Ugwunagbo,1012,Abia,AB,Federal Government, ,GRID,Information Communication Technology Centre,7.33509183392107,4.9884333587126
14,378a1f60-61d3-4f5f-96ac-8f20188cc668,17206,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Assah Ubiri Elem,IMSAWD03,Orsu,17021,Imo,IM,State Government, ,GRID,State Development Council,7.01753000040924,5.85427166740357
15,a0d732d2-ddfa-4215-89e2-9a30753e9960,17207,2/27/2019 12:00:00 AM,tosin.williams, ,Ajara,OGSSAU03,Shagamu,28020,Ogun,OG,State Government, ,GRID,Ministry Of Agriculture,3.65498499965804,6.85210333340217
16,6f7e6009-0e70-441b-8306-800b61aade70,17208,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Ward 7,CRSANA07,Calabar South,9009,Cross River,CR,State Government, ,GRID,Ministry Of Social Welfare Motherless Babies Home,8.3394282998762,4.94153669975896
17,510c3add-2220-47fe-a91b-ad5b717e8a42,17209,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Abana,CRSBKS06,Bakassi,9004,Cross River,CR,Federal Government, ,GRID,Nigeria Security And Civil Defence Corps Bakassi,8.5047449995821,4.83366499973999
18,8a0ac6b0-f7b1-483d-96cb-8a70bb80cde9,17210,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Ward 9,CRSANA09,Calabar South,9009,Cross River,CR,Federal Government, ,GRID,Nigeria Security And Civil Defence Corps Cross River State Command,8.32008000029185,4.92478330040905
19,9e5f07f0-e527-43ea-bcc8-01ae6bd34e6b,17211,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Otun Olufi,OSSADE09,Ayedade,30001,Osun,OS,Federal Government, ,GRID,National Youth Development Centre Ode Omu,4.37891666657094,7.51357499958664
20,4bfce8a4-3df0-44f6-b17d-be2b9677eed1,17212,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Oke Ede,OSSILA07,Ila,30017,Osun,OS,Local Government, ,GRID,Ila Local Government,4.91348000040176,8.01107333286808
21,e859cc5e-4b8b-49c8-b03f-5bd3a6a2f588,17213,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Oke Ola,OSSILA11,Ila,30017,Osun,OS,Federal Government, ,GRID,Nigeria Police Station,4.87492333304544,8.00564666716002
22,229414a6-0ea0-4e79-b831-29a441b552d2,17214,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Obalufon,OSSADE10,Ayedade,30001,Osun,OS,State Government, ,GRID,Mini Water Scheme,4.36615166696589,7.32298499955812
23,55bd1601-f6ac-4948-ac2e-3b4271ff501e,17215,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Oke Ede,OSSILA07,Ila,30017,Osun,OS,Federal Government, ,GRID,NDLEA,4.9011999997802,8.00587666697464
24,343602e9-2189-4159-802c-adffd82bf595,17216,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Oke-Run,OSSBOLUW10,Boluwaduro,30005,Osun,OS,State Government, ,GRID,Osun State Government Mini Water Scheme Iresi,4.82715499990337,7.93459833334646
25,dce35578-5b43-454c-ac47-3425aa0433b3,17217,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Igbajo 3,OSSBOLUW04,Boluwaduro,30005,Osun,OS,Federal Government, ,GRID,National Root Crops Research Institute,4.83452499982894,7.93447333297797
26,09aeb5c6-4bb8-4923-ae2c-2db72e576c32,17218,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Iresi 1,OSSBOLUW05,Boluwaduro,30005,Osun,OS,State Government, ,GRID,Water Supply And Sanitation,4.88529833305165,7.92797333270317
27,ea21ebe4-f0d7-4a3d-a2cc-f628d1c93fa7,17219,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Iragberi 1,OSSEDE08,Egbedore,30009,Osun,OS,Local Government, ,GRID,INEC Office,4.38959333336567,7.7694249999638
28,d17155cb-8f25-42a5-9dac-2b01155a491b,17220,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Iragberi 1,OSSEDE08,Egbedore,30009,Osun,OS,Local Government, ,GRID,Customary Court,4.39128500040249,7.76880333280764
29,521e7bf7-faba-4287-98ad-a8b4af36b279,17221,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Iragberi 1,OSSEDE08,Egbedore,30009,Osun,OS,Local Government, ,GRID,Education Authority,4.39166666728289,7.76875333319981
30,fcdc2dfe-70fb-47b8-9c60-05f1a7953322,17222,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Olukotun Inisha,OSSODN13,Odo Otin,30025,Osun,OS,Local Government, ,GRID,Odo Otin Local Council Development Area Inisa Osun State,4.64888999987363,7.97741666664592
31,762fcc08-a2e5-4706-b314-f880ebca9993,17223,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Olukotun Inisha,OSSODN13,Odo Otin,30025,Osun,OS,State Government, ,GRID,Customary Court Inisa Osun State,4.64844333269372,7.97796999971575
32,b60c393c-a0f6-4438-9c9f-c6d94853e22f,17224,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Olukotun Inisha,OSSODN13,Odo Otin,30025,Osun,OS,Federal Government, ,GRID,National Population Commission,4.6730783328988,8.00702166671658
33,99044b66-6757-4d8e-b4c9-0a3dd66a89cd,17225,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Ikang Central,CRSKTA06,Akpabuyo,9003,Cross River,CR,Local Government, ,GRID,Emmanuel Edem Okon Legislative Complex Ikot Nakanda,8.48205500003826,4.88432999972974
