FID,globalid,uniq_id,timestamp,editor,scdy_edtor,wardname,wardcode,lganame,lgacode,statename,statecode,source,plc_st_nam,x,y
1,902814d3-54c4-4106-8158-f52fe093d7a5,3317,2/2/2018 12:00:00 AM,najib.adam, ,Odelemo,OGSSAU11,Shagamu,28020,Ogun,OG,GRID,Lafarge Police Station,3.62000148717891,6.8192670800118
2,1cfcfeed-bb07-4e70-bde0-555111b90ef1,3318,2/2/2018 12:00:00 AM,najib.adam, ,Ajara,OGSSAU03,Shagamu,28020,Ogun,OG,GRID,The Nigeria Police Divisional Headquarters Shagamu,3.63325505068008,6.85250390133405
3,3c752c66-72ed-47a3-8cce-043cde54d164,3319,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Umuarukwu / Ward Six,ABSGWB13,Ugwunagbo,1012,Abia,AB,GRID,Amaufuru Police Station,7.31674000025083,5.01959333336566
4,b210fdc2-2997-44e8-b7b3-86b9e4ba4905,3320,2/2/2018 12:00:00 AM,najib.adam, ,Iperu 1,OGSIKE05,Ikenne,28012,Ogun,OG,GRID,Police Training School,3.66851532232431,6.90337776077507
5,b8bda6e6-a437-4544-b629-cf2a8e82d42d,3321,2/2/2018 12:00:00 AM,najib.adam, ,Iperu 1,OGSIKE05,Ikenne,28012,Ogun,OG,GRID,The Nigeria Police Force Divisional Headquarters Iperu Remo,3.66632906143707,6.90347754235472
6,bd0d4a33-9d2e-4fb2-8167-f1ac338696a8,3322,2/2/2018 12:00:00 AM,najib.adam, ,Irolu,OGSIKE08,Ikenne,28012,Ogun,OG,GRID,Trailer Park Police Station,3.64607166687398,6.94399833265697
7,b17f2d54-3f94-430e-9e98-9e91422fdb4f,3323,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ward 2,CRSANA02,Calabar South,9009,Cross River,CR,GRID,The Nigeria Police Divisional Headquarters A Division Calabar,8.34993390032929,4.96538740030832
8,5737ed61-2ce2-4fc9-a5c6-fa41625e1575,3324,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ward 2,CRSANA02,Calabar South,9009,Cross River,CR,GRID,The Nigeria Police Divisional Headquarters A,8.34993390032929,4.96538740030832
9,39096064-ced0-4f7a-8287-1d4706f45f7c,3325,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Isedo 2,OSSILA06,Ila,30017,Osun,OS,GRID,Federal Road Safety Corpsila Oragun,4.92196833337192,8.02256500037453
10,0b8ffb4b-07fe-4586-8367-17fb4a69d691,3326,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Oke-Aree,OSSBOE08,Boripe,30006,Osun,OS,GRID,The Nigeria Police Force A,4.7421016668585,7.94079999972024
11,e3e28d7e-32e5-4178-a4ce-b8953c97fa36,3327,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Oke Ogi / Ada 2,OSSBOE07,Boripe,30006,Osun,OS,GRID,Police Post Ada,4.71216833330197,7.89236166715727
