FID,globalid,uniq_id,timestamp,editor,wardname,wardcode,lganame,lgacode,statename,statecode,idp_hf_prv,idp_hf,idp_am_mdc,tot_hhold,f_pop_60,m_pop_pl60,f_pop18_59,m_pop18_59,f_pop6_17,m_pop6_17,f_pop1_5,m_pop1_5,f_pop_und1,b_pop_und1,site_id,idp_prtb_w,idp_amnts,idp_am_hs,idp_am_med,agncy_cntc,agency_nam,sma_type,site_cls_d,site_opn_d,site_statu,site_type,set_name,alt_st_nam,t_pop_und5,total_pop,pop_source,site_name,x,y
1,60743464-685e-4418-b744-3b11da32dba6,7794,2/2/2018 12:00:00 AM,dennis.irorere,Jauro Yinu,TRSARD05,Ardo-Kola,35001,Taraba,TA,Government,Yes,No,17,2,3,22,18,14,12,6,4,2,2,TR_S023,Yes,Yes,Yes,Yes,0, , ,,,Informal,Camp,Tumdiri, ,0,85,IOM DTM RD24 August 2018,Tumdiri,11.3057099998167,8.91474999971274
2,0121963c-c46e-45fa-a1b7-b266800481f6,7795,2/2/2018 12:00:00 AM,dennis.irorere,Jauro Yinu,TRSARD05,Ardo-Kola,35001,Taraba,TA, , , ,0,0,0,0,0,0,0,0,0,0,0,TR_S030, , ,Yes, ,0, , ,,,Informal,Camp,Kofai, ,0,0,IOM DTM RD24 August 2018,GDSS Kofai Camp,11.3122799997223,8.90692999971975
3,21ece69f-79d9-401a-b1a8-4003de21e0c2,7796,2/2/2018 12:00:00 AM,dennis.irorere,Yitti,TRSLAU10,Lau,35010,Taraba,TA, , , ,0,0,0,0,0,0,0,0,0,0,0,TR_S025, , ,Yes, ,0, , ,,, ,Collective Settlement/Centre,Cocin Church, ,0,0,IOM DTM RD24 August 2018,Cocin Church,11.2158099999316,9.04653999962136
4,1e4d7c49-f4e6-42cb-bf10-ee38279c7b4d,7207,2/2/2018 12:00:00 AM,adanna.alex,Auno,11602,Konduga,116,Borno,BR, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, , ,Auno-Chabbol, ,0,0,eHA_Polio,Kofa Auno,13.0614500002174,11.8374969996868
5,ba96ce41-fe3b-472b-98ba-3b9073fc068a,7787,2/2/2018 12:00:00 AM,adanna.alex,Malam Sidi,GMSKWM09,Kwami,16008,Gombe,GO, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Gari-Azumi, ,0,0,IOM DTM RD16 May 2017,Gari Azumi,11.287580000117,10.4761800003068
6,fb6cac58-2afe-4fb0-9df8-54029cf46ce2,7788,2/2/2018 12:00:00 AM,adanna.alex,Lankaviri,TRSYRR05,Yorro,35015,Taraba,TA, , , ,0,0,0,0,0,0,0,0,0,0,0,TR_S035, , ,Yes, ,0, , ,,,Informal,Transitional Centre,Lankaviri, ,0,0,IOM DTM RD24 August 2018,Bishops Court,11.4183000001449,8.99953999957137
7,204ab9b9-9f6c-4345-9d0f-f946242bf24c,7777,2/2/2018 12:00:00 AM,adanna.alex,Maisandari,12413,Maiduguri,124,Borno,BR, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Formal,Nursing Village, ,560,0,eHA_Polio,Nursing Village,13.1016644634443,11.8277774606613
8,0ce8536a-593b-42b4-a920-308a9e84fd03,7778,2/2/2018 12:00:00 AM,dennis.irorere,Dusuman,11307,Jere,113,Borno,BR,INGO,Yes,No,12,5,4,8,6,6,3,3,3,0,1,BO_S129,Yes,Yes,No,Yes,0, , ,,, ,Collective Settlement/Centre,Muna Dalti, ,0,39,IOM DTM RD24 August 2018,Muna DaAlti 1B,13.2536200002629,11.8695599997942
9,72318a5f-19c5-4fcf-a1ea-950471871298,7779,2/2/2018 12:00:00 AM,dennis.irorere,Dusuman,11307,Jere,113,Borno,BR,INGO,Yes,Yes,89,18,10,154,104,89,60,67,39,17,14,BO_S128,Yes,Yes,No,Yes,0, , ,,, ,Collective Settlement/Centre,Muna Dalti, ,0,572,IOM DTM RD24 August 2018,Muna DaAlti 1A,13.2529499999426,11.8688599998891
10,0e7000bf-9a13-4a73-a78c-aaf8de029454,7780,2/2/2018 12:00:00 AM,dennis.irorere,Dusuman,11307,Jere,113,Borno,BR,INGO,Yes,Yes,937,247,151,1123,1006,1491,1214,746,468,69,49,BO_S145,Yes,Yes,No,Yes,0, , ,,,Informal,Collective Settlement/Centre,Muna Dalti, ,0,6564,IOM DTM RD24 August 2018,Muna DaAlti 2A,13.2522500000375,11.8685200003977
11,bcb170b6-5899-4b30-9ec9-ff1a413c1dab,7781,2/2/2018 12:00:00 AM,dennis.irorere,Biriri,71503,Tarmuwa,715,Yobe,YO,INGO,Yes,Yes,72,5,4,144,91,41,37,34,28,26,22,YB_S004,Yes,Yes,Yes,Yes,0, , ,,,Informal,Collective Settlement/Centre,Moh'd Gombe Farm, ,0,432,IOM DTM RD24 August 2018,Mohd Gombe Farm,11.7267000002049,12.0354700002404
12,f59ab8cf-0433-47ec-a1ea-dd60c8cb3146,7782,2/2/2018 12:00:00 AM,dennis.irorere,Dusuman,11307,Jere,113,Borno,BR,INGO,Yes,Yes,40,11,5,48,45,44,36,24,20,10,7,BO_S050,Yes,Yes,No,Yes,0, , ,,, ,Camp,Muna Dalti, ,0,250,IOM DTM RD24 August 2018,Muna DaAlti 2,13.250340000091,11.8684800003518
13,3877fbcb-0699-42e4-8af8-d5829461def2,7783,2/2/2018 12:00:00 AM,dennis.irorere,Dusuman,11307,Jere,113,Borno,BR,INGO,Yes,Yes,28,7,5,32,28,21,19,11,12,5,5,BO_S051,Yes,Yes,No,Yes,0, , ,,, ,Camp,Muna Dalti, ,0,145,IOM DTM RD24 August 2018,Muna DaAlti 3,13.2538999996853,11.8623999996603
14,8081e97e-d12d-4bb5-a875-7a1c8307b7cd,7784,2/2/2018 12:00:00 AM,dennis.irorere,Dusuman,11307,Jere,113,Borno,BR,INGO,Yes,Yes,75,15,13,102,83,61,51,41,32,16,13,BO_S146,Yes,Yes,No,Yes,0, , ,,,Informal,Collective Settlement/Centre,Muna Dalti, ,0,427,IOM DTM RD24 August 2018,Muna DaAlti 2B,13.2522500000375,11.8685200003977
15,0b3dbf78-565c-4dac-ac29-00561c98c41b,7785,2/2/2018 12:00:00 AM,adanna.alex,Garko,GMSAKK02,Akko,16001,Gombe,GO, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garko, ,0,0,IOM DTM RD16 May 2017,Wuro Shie,11.1579000003848,10.2601200002379
16,81e5fc76-e36b-4df5-ae8c-5b05d3bdd600,7786,2/2/2018 12:00:00 AM,adanna.alex,Ndufu Alike / Agalegu  / Ndiofoke,EBSCHR25,Ikwo,11007,Ebonyi,EB, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, , ,Igweledoha Amajim Ameka, ,0,0,GRID,Elegu Ndi Ova Nkumoro,8.12715999983419,6.16769666716749
17,b332e1be-afe8-473e-bb17-ba1a81a33249,6900,2/2/2018 12:00:00 AM,dennis.irorere,Girei 2,ADSGRE05,Girei,2004,Adamawa,AD,Government,Yes,No,103,19,17,75,43,80,91,34,30,21,12,AD_S037,No,Yes,Yes,No,0, , ,,,Informal,Collective Settlement/Centre,Chekamideri, ,0,422,IOM DTM RD24 August 2018,Chekamideri,12.5578099997318,9.37342999979472
