FID,globalid,uniq_id,timestamp,editor,scdy_edtor,wardname,wardcode,lganame,lgacode,statename,statecode,source,alt_name,poi_name,x,y
1,383cda4e-50ea-4425-931f-7e50d488c9e3,8,5/31/2020 0:00,nuraddeen.isah, ,Molete,OYSOLE07,Orelope,31027,Oyo,OY,GRID, ,Razaq Ikolaba Investment Limited,3.75318,8.8289683
2,5d8b69c0-8e1f-4578-9bcc-b89f99d54798,9,5/31/2020 0:00,nuraddeen.isah, ,Ijeru 2,OYSODS06,Ogbomosho South,31022,Oyo,OY,GRID, ,Nipco,4.2473483,8.1218817
3,6d2e2c11-dbbf-4a24-9f38-cafdbbeea34e,10,5/31/2020 0:00,nuraddeen.isah, ,Molete,OYSISE07,Ibadan South East,31009,Oyo,OY,GRID, ,Adlak Investment Nig Ltd,3.901791667,7.357976667
4,ca5b2bdf-e91c-4e2f-ab84-80f421fc6f6b,11,5/31/2020 0:00,nuraddeen.isah, ,Yemetu,OYSIBN12,Ibadan North,31006,Oyo,OY,GRID, ,Mobil Filling Station,3.90367,7.389396667
5,512abfce-a324-4afd-b277-3c66dfb6ca1d,12,5/31/2020 0:00,nuraddeen.isah, ,Masifa / Aguodo,OYSOGN06,Ogbomosho North,31021,Oyo,OY,GRID, ,Divine K,4.2562,8.138926667
6,7588770b-2b7c-4f43-8670-448243492ba2,13,5/31/2020 0:00,nuraddeen.isah, ,Masifa / Aguodo,OYSOGN06,Ogbomosho North,31021,Oyo,OY,GRID, ,Madam Stoke Mariana Nig Ltd,4.2517617,8.13878
7,fb1a65f5-bf30-4624-becf-38e9b53c9440,14,5/31/2020 0:00,nuraddeen.isah, ,Sango,OYSIBN11,Ibadan North,31006,Oyo,OY,GRID, ,Poplat Filling Station,3.879628333,7.421815
8,80f587e8-48d8-4dbb-a12d-32d68bb4e6a4,15,5/31/2020 0:00,nuraddeen.isah, ,Eleyele,OYSINW07,Ibadan North West,31008,Oyo,OY,GRID, ,Tafotech Oil,3.863163333,7.415096667
9,2e1aea59-acaf-4661-9c8f-5c6d95f047cb,16,5/31/2020 0:00,nuraddeen.isah, ,Igangan 3,OYSIBAN05,Ibarapa North,31013,Oyo,OY,GRID, ,Adelaks Filling Station,3.18456,7.687876667
10,3f7ac79e-b58e-4ac3-802f-e04930bc97c7,17,5/31/2020 0:00,nuraddeen.isah, ,Saja / Isale Ora,OYSOGN10,Ogbomosho North,31021,Oyo,OY,GRID, ,Olawuwo Oil,4.278728333,8.114725
11,09c91081-3373-4478-9c3b-bdbebe6114a1,18,5/31/2020 0:00,nuraddeen.isah, ,Masifa / Aguodo,OYSOGN06,Ogbomosho North,31021,Oyo,OY,GRID, ,S A Adeniran Tetteh Petroleum,4.246115,8.14178
12,7b700eed-7478-4c2e-b6b5-769548c219b0,19,5/31/2020 0:00,nuraddeen.isah, ,Saja / Isale Ora,OYSOGN10,Ogbomosho North,31021,Oyo,OY,GRID, ,Saoyad Investment Nig Ltd,4.25221,8.129975
13,2f08fdda-3c53-4dc8-99d6-e089dc514901,20,5/31/2020 0:00,nuraddeen.isah, ,Saja / Isale Ora,OYSOGN10,Ogbomosho North,31021,Oyo,OY,GRID, ,Yusda Oil and Gas Investment,4.252088333,8.129555
14,4ff95e96-8d16-4a08-ad28-3c69bff0a7df,21,5/31/2020 0:00,nuraddeen.isah, ,Isale Osi / Oja'ba,OYSISW06,Ibadan South West,31010,Oyo,OY,GRID, ,B K Petroleum Nig Ltd,3.893373333,7.36899
15,ecfa25dc-4641-40b4-869e-197e7bedd25a,22,5/31/2020 0:00,nuraddeen.isah, ,Masifa / Aguodo,OYSOGN06,Ogbomosho North,31021,Oyo,OY,GRID, ,Chimbo Oil and Gas Ltd,4.24789,8.135711667
16,9e5fbb7b-1a5e-49b0-8998-0600fbd0587f,23,5/31/2020 0:00,nuraddeen.isah, ,Lafiagi 2,KWSLAF02,Edu,24003,Kwara,KW,GRID, ,Asrak Oil,5.4007411,8.833861028
17,849669b1-ad32-45fd-bced-45f1698f79f8,24,5/31/2020 0:00,nuraddeen.isah, ,Oke Aafin,OYSOLE09,Orelope,31027,Oyo,OY,GRID, ,Bellalo Nig Ltd,3.762893333,8.837741667
18,c19d4541-1707-439b-8c4d-5faeef17ad75,25,5/31/2020 0:00,nuraddeen.isah, ,Obaago,OYSOLE08,Orelope,31027,Oyo,OY,GRID, ,Jossy Adeolu Petroleum,3.755231667,8.836378333
19,d8aea938-aad5-4925-8398-7f0376e2bcbf,26,5/31/2020 0:00,nuraddeen.isah, ,Igangan 1,OYSIBAN03,Ibarapa North,31013,Oyo,OY,GRID, ,Muslad Multipurpose Services Limited,3.1856083,7.6653317
20,ed8e09f0-8241-4112-8107-bbf6a3c1b8e1,27,5/31/2020 0:00,nuraddeen.isah, ,Igangan 1,OYSIBAN03,Ibarapa North,31013,Oyo,OY,GRID, ,Ajimati Petroleum,3.1854183,7.6678133
21,df537f7e-01ec-4155-a8a6-dacee35c751c,28,5/31/2020 0:00,nuraddeen.isah, ,Oke Igboho,OYSOLE10,Orelope,31027,Oyo,OY,GRID, ,A S P E Petroleum Station,3.74688,8.8508917
22,8441b004-f5fc-4446-83ba-3340492aba34,29,5/31/2020 0:00,nuraddeen.isah, ,Saja / Isale Ora,OYSOGN10,Ogbomosho North,31021,Oyo,OY,GRID, ,Bovas,4.258706667,8.125856667
23,022c9190-3ac9-4114-81eb-f9aaf12f8194,30,5/31/2020 0:00,nuraddeen.isah, ,Saja / Isale Ora,OYSOGN10,Ogbomosho North,31021,Oyo,OY,GRID, ,Nagasco Global Big Ltd,4.261975,8.125476667
24,615b60e9-b256-4cfb-a26d-bf1046e65f77,31,5/31/2020 0:00,nuraddeen.isah, ,Saja / Isale Ora,OYSOGN10,Ogbomosho North,31021,Oyo,OY,GRID, ,R A Ogunrinola,4.257971667,8.123985
25,d6739dc8-b5dc-473d-abec-4a381d2158f6,32,5/31/2020 0:00,nuraddeen.isah, ,Saja / Isale Ora,OYSOGN10,Ogbomosho North,31021,Oyo,OY,GRID, ,Modern Option Nig Ltd,4.2541833,8.1266017
26,16afd9a8-888f-4cb9-87b9-fe2b29a30243,33,5/31/2020 0:00,nuraddeen.isah, ,Afonta,OYSINW02,Ibadan North West,31008,Oyo,OY,GRID, ,Triumph Petroleum,3.879306667,7.393575
27,4a259223-5d86-45a3-b1f7-b69d1da0b7d4,34,5/31/2020 0:00,nuraddeen.isah, ,Saja / Isale Ora,OYSOGN10,Ogbomosho North,31021,Oyo,OY,GRID, ,Total,4.289173333,8.11103
28,ed66a736-1842-4554-a55f-fc0222997c56,35,5/31/2020 0:00,nuraddeen.isah, ,Saja / Isale Ora,OYSOGN10,Ogbomosho North,31021,Oyo,OY,GRID, ,Sulawog Nig Ltd,4.29175,8.110156667
29,1197fa99-95e9-415e-88c2-d13de0d19d84,36,5/31/2020 0:00,nuraddeen.isah, ,Oke Itunu,OYSIBN07,Ibadan North,31006,Oyo,OY,GRID, ,Oando Filling Station,3.889318333,7.406995
30,7e04c119-8c1b-451d-aace-73737eabec12,37,5/31/2020 0:00,nuraddeen.isah, ,Oke Are,OYSIBN06,Ibadan North,31006,Oyo,OY,GRID, ,Bambol Petroleum,3.90248,7.38401
31,7a22a708-4117-4caa-9ac8-93a36342016e,38,5/31/2020 0:00,nuraddeen.isah, ,Molete,OYSISE07,Ibadan South East,31009,Oyo,OY,GRID, ,Prolek,3.888835,7.35802
32,677afa43-4e3e-4089-9ce6-52a86370cd3a,39,5/31/2020 0:00,nuraddeen.isah, ,Sango,OYSIBN11,Ibadan North,31006,Oyo,OY,GRID, ,Gastab Filling Station,3.896991667,7.424971667
33,3e380273-5d76-41f6-bd3e-51255bb11466,40,5/31/2020 0:00,nuraddeen.isah, ,Sabo / Tara,OYSOGN09,Ogbomosho North,31021,Oyo,OY,GRID, ,Amso Global Resources,4.268453333,8.181238333
34,ebc80402-d32d-43ef-91e7-ff87d95f6c06,41,5/31/2020 0:00,nuraddeen.isah, ,Sabo / Tara,OYSOGN09,Ogbomosho North,31021,Oyo,OY,GRID, ,Rubbie Oil Nig Ltd,4.266791667,8.178086667
35,d264d04d-3211-4b84-a8bf-a3478504ad3f,42,5/31/2020 0:00,nuraddeen.isah, ,Sabo / Tara,OYSOGN09,Ogbomosho North,31021,Oyo,OY,GRID, ,Olorunlami Petroleum Limited,4.273021667,8.189676667
36,6ea208d2-c0b1-46f2-bd85-9cfb143392e1,43,5/31/2020 0:00,nuraddeen.isah, ,Sabo / Tara,OYSOGN09,Ogbomosho North,31021,Oyo,OY,GRID, ,Total Station,4.263133333,8.171401667
37,55cb3e04-97f6-4e97-ba7c-e46bfc86e2bc,44,5/31/2020 0:00,nuraddeen.isah, ,Bashorun,OYSIBN04,Ibadan North,31006,Oyo,OY,GRID, ,Forte Oil Filling Station,3.935033333,7.421893333
38,d90cb12b-4367-4026-a8f9-3a2a8e23091c,45,5/31/2020 0:00,nuraddeen.isah, ,Okeamu,OYSIWU07,Itesiwaju,31017,Oyo,OY,GRID, ,Soma Multilink Filling Station,3.5205141,8.12462
39,20bd2c1d-bffb-4420-beb0-8a1fc4ad6aae,46,5/31/2020 0:00,nuraddeen.isah, ,Okaka 2,OYSIWU06,Itesiwaju,31017,Oyo,OY,GRID, ,Awobat Filling Station,3.4610883,8.2149025
40,d4ca8273-6a2b-4138-94ae-b8ee566231e4,47,5/31/2020 0:00,nuraddeen.isah, ,Okaka 2,OYSIWU06,Itesiwaju,31017,Oyo,OY,GRID, ,Deefaith Filling Station Okaka,3.4618325,8.213985
41,7935f6fc-daf2-4f0a-bc52-a7c14b6254f6,48,5/31/2020 0:00,nuraddeen.isah, ,Komu,OYSIWU04,Itesiwaju,31017,Oyo,OY,GRID, ,Famurat Global,3.1999975,8.223237
42,fa9757d8-f8d6-4d6a-a78f-d90952869e88,49,5/31/2020 0:00,nuraddeen.isah, ,Komu,OYSIWU04,Itesiwaju,31017,Oyo,OY,GRID, ,Bona Venture,3.1983082,8.2269815
43,7622991f-ffda-4ce8-8d0e-36302e99a4ca,50,5/31/2020 0:00,nuraddeen.isah, ,Challenge,OYSISE04,Ibadan South East,31009,Oyo,OY,GRID, ,Olamikun Global Resources,3.873981667,7.333125
44,f3597d4f-cd22-4700-a965-99b7dbaf6cda,51,5/31/2020 0:00,nuraddeen.isah, ,Challenge,OYSISE04,Ibadan South East,31009,Oyo,OY,GRID, ,Conoil,3.87707,7.337965
45,0e4758a3-858f-423e-935c-926c1e061701,52,5/31/2020 0:00,nuraddeen.isah, ,Oke Itunu,OYSIBN07,Ibadan North,31006,Oyo,OY,GRID, ,Isaacoy Oil,3.887418333,7.406083333
46,5055c25b-7d24-4d89-94f7-917b36062382,53,5/31/2020 0:00,nuraddeen.isah, ,Onipe,OYSOYE09,Oluyole,31025,Oyo,OY,GRID, ,Muyeg Filling Station,3.900508333,7.337718333
